year,session,paper,exam_date,shift,document_type,title,official_source_page_url,direct_document_url,local_filename,download_status,http_status,file_size_bytes,sha256_hash,date_downloaded,notes
2026,Session-2,Paper-1,2026-04-02,Shift-1,Question-Paper,B Tech 2nd Apr 2026 Shift 1,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/202604092096865379.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,success,200,2463315,ba8b5256533e0a29e2eb71df3e322885335219d48259f4083365662f5ad7933b,2026-09-20 12:29:41,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-02,Shift-2,Question-Paper,B Tech 2nd Apr 2026 Shift 2,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409481957146.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-2_Question-Paper.pdf,success,200,2586255,7c9f31086094684cb7cf5ca9ce884b8991a3c19315dab282c7d320ed86eaf405,2026-09-20 12:29:42,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-04,Shift-1,Question-Paper,B Tech 4th Apr 2026 Shift 1,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/202604091916616339.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-1_Question-Paper.pdf,success,200,2148210,1d8b98a5ebe417b5e9456996d00cf55a890ed87898919a2bbf2d580ef3685b4a,2026-09-20 12:29:43,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-04,Shift-2,Question-Paper,B Tech 4th Apr 2026 Shift 2,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409432593766.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-2_Question-Paper.pdf,success,200,2264985,2146491216c3ef79b210b8e4e4a2ed3c7afca1e9db198d4adcc23dd346cf5fc5,2026-09-20 12:29:44,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-05,Shift-1,Question-Paper,B Tech 5th Apr 2026 Shift 1,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409828731207.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-1_Question-Paper.pdf,success,200,2273572,20a14808d521007d48289171297030a4ac18710abc180bb7e3b2d23e2a0a19fb,2026-09-20 12:29:44,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-05,Shift-2,Question-Paper,B Tech 5th Apr 2026 Shift 2,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409829414602.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-2_Question-Paper.pdf,success,200,2644036,876efb4250b5d8e096f28bb48d9078e39f25f1ad70473701e5c13523716588d4,2026-09-20 12:29:45,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-06,Shift-1,Question-Paper,B Tech 6th Apr 2026 Shift 1,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/202604092007095665.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-1_Question-Paper.pdf,success,200,2202415,a95fbbd91673783722fe98e0455860fac1585135d2e84e31f147cbd893226eeb,2026-09-20 12:29:46,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-06,Shift-2,Question-Paper,B Tech 6th Apr 2026 Shift 2,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409725707538.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-2_Question-Paper.pdf,success,200,2597034,2983baca258ad15a77a4bc66968aa57239a217298a73e3f4e51caad1777368d5,2026-09-20 12:29:47,Verified authentic PDF
2026,Session-2,Paper-1,2026-04-08,Shift-2,Question-Paper,B Tech 8th Apr 2026 Shift 2,https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/04/20260409932754345.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-08_Shift-2_Question-Paper.pdf,success,200,2651238,079e3b7ae67b70309f22b33e37b720cba65b47c6d96760113a4302cee1122416,2026-09-20 12:29:48,Verified authentic PDF
2026,Session-General,Paper-2,,,Final-Answer-Key,Final Answer Keys for JEE(Main) – 2026 Paper-II [B.Arch / B.Planning],https://jeemain.nta.nic.in/,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2026/05/20260504722672757.pdf,2026\Session-General\Answer-Keys\JEE_Main_2026_Session-General_Paper-2_Final-Answer-Key.pdf,success,200,18115,edd30ed7e01be0b69915ac106279be3b45c465ff81a5981ca90695d68a55bf4a,2026-09-20 12:29:48,Verified authentic PDF
