exam,year,session,date,shift,paper,paper_number,language,pdf_type,answer_key_file,question_paper_file,local_path,page_count,file_size
JEE_MAIN,2019,Session April,2019-04-08,,Paper 1,1,English,Final Answer Key,2019\Session-April\Answer-Keys\JEE_Main_2019_Session-April_Paper-1_Final-Answer-Key.pdf,,2019\Session-April\Answer-Keys\JEE_Main_2019_Session-April_Paper-1_Final-Answer-Key.pdf,16,91557
JEE_MAIN,2019,Session General,,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2019\Session-General\Question-Papers\JEE_Main_2019_Session-General_Question-Paper.pdf,1,122288
JEE_MAIN,2021,Session 1,2021-02-24,Shift 1,Paper 1,1,English,Final Answer Key,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key.pdf,,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key.pdf,78,128631
JEE_MAIN,2021,Session 1,2021-02-24,Shift 1,Paper 1,1,English,Final Answer Key,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key_2.pdf,,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key_2.pdf,78,126563
JEE_MAIN,2021,Session 2,2021-03-16,Shift 1,Paper 1,1,English,Final Answer Key,2021\Session-2\Answer-Keys\JEE_Main_2021_Session-2_Paper-1_Final-Answer-Key.pdf,,2021\Session-2\Answer-Keys\JEE_Main_2021_Session-2_Paper-1_Final-Answer-Key.pdf,78,128254
JEE_MAIN,2021,Session 2,,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2021\Session-2\Question-Papers\JEE_Main_2021_Session-2_Question-Paper.pdf,2,618398
JEE_MAIN,2021,Session 3,2021-07-20,Shift 1,Paper 1,1,English,Final Answer Key,2021\Session-3\Answer-Keys\JEE_Main_2021_Session-3_Paper-1_Final-Answer-Key.pdf,,2021\Session-3\Answer-Keys\JEE_Main_2021_Session-3_Paper-1_Final-Answer-Key.pdf,11,25615
JEE_MAIN,2021,Session 3,2021-07-29,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2021\Session-3\Question-Papers\JEE_Main_2021_Session-3_2021-07-29_Question-Paper.pdf,2,559052
JEE_MAIN,2021,Session 4,2021-08-26,Shift 1,Paper 1,1,English,Final Answer Key,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-1_Final-Answer-Key.pdf,,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-1_Final-Answer-Key.pdf,7,19689
JEE_MAIN,2021,Session 4,2021-09-02,Shift 1,Paper 2,2,English,Final Answer Key,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-2_Final-Answer-Key.pdf,,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-2_Final-Answer-Key.pdf,7,19754
JEE_MAIN,2022,Session 1,2022-06-24,,Paper 1,1,English,Final Answer Key,2022\Session-1\Answer-Keys\JEE_Main_2022_Session-1_Paper-1_Final-Answer-Key.pdf,,2022\Session-1\Answer-Keys\JEE_Main_2022_Session-1_Paper-1_Final-Answer-Key.pdf,13,60644
JEE_MAIN,2022,Session 1,2022-07-03,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2022\Session-1\Question-Papers\JEE_Main_2022_Session-1_2022-07-03_Question-Paper.pdf,1,955788
JEE_MAIN,2022,Session 1,,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2022\Session-1\Question-Papers\JEE_Main_2022_Session-1_Question-Paper.pdf,2,1208460
JEE_MAIN,2022,Session 2,2022-07-25,,Paper 1,1,English,Final Answer Key,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-1_Final-Answer-Key.pdf,,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-1_Final-Answer-Key.pdf,11,57183
JEE_MAIN,2022,Session 2,2020-09-01,,Paper 2,2,English,Final Answer Key,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-2_Answer-Key.pdf,,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-2_Answer-Key.pdf,8,76801
JEE_MAIN,2022,Session 2,,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2022\Session-2\Question-Papers\JEE_Main_2022_Session-2_Question-Paper.pdf,2,843302
JEE_MAIN,2022,Session 4,2021-09-28,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2022\Session-4\Question-Papers\JEE_Main_2022_Session-4_2021-09-28_Question-Paper.pdf,2,556452
JEE_MAIN,2022,Session General,2021-09-06,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2022\Session-General\Question-Papers\JEE_Main_2022_Session-General_2021-09-06_Question-Paper.pdf,2,560295
JEE_MAIN,2023,Session 1,2023-01-28,Shift 2,Paper 2,2,English,Final Answer Key,2023\Session-1\Answer-Keys\JEE_Main_2023_Session-1_Paper-2_Answer-Key.pdf,,2023\Session-1\Answer-Keys\JEE_Main_2023_Session-1_Paper-2_Answer-Key.pdf,3,13914
JEE_MAIN,2023,Session 2,,,Paper 1 (B.E./B.Tech),1,English,Question Paper Display Notice,,,2023\Session-2\Question-Papers\JEE_Main_2023_Session-2_Question-Paper.pdf,2,1223930
JEE_MAIN,2023,Session General,2023-02-01,,Paper 1,1,English,Final Answer Key,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key.pdf,,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key.pdf,12,277512
JEE_MAIN,2023,Session General,2023-02-01,,Paper 1,1,English,Final Answer Key,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key_2.pdf,,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key_2.pdf,12,273698
JEE_MAIN,2024,Session 1,2024-01-31,Shift 1,Paper 1,1,English,Final Answer Key,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_2024-01-31_Paper-1_Final-Answer-Key.pdf,,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_2024-01-31_Paper-1_Final-Answer-Key.pdf,10,23553
JEE_MAIN,2024,Session 1,2024-01-24,Shift 2,Paper 2,2,English,Final Answer Key,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_Paper-2_Final-Answer-Key.pdf,,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_Paper-2_Final-Answer-Key.pdf,3,13744
JEE_MAIN,2024,Session 1,,,Paper 1,1,English,Final Answer Key,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,2,341852
JEE_MAIN,2024,Session 1,,,Paper 1,1,English,Final Answer Key,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice_2.pdf,,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice_2.pdf,2,362871
JEE_MAIN,2024,Session 2,2024-04-22,Shift 1,Paper 1,1,English,Final Answer Key,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_2024-04-22_Paper-1_Final-Answer-Key.pdf,,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_2024-04-22_Paper-1_Final-Answer-Key.pdf,10,23615
JEE_MAIN,2024,Session 2,2024-04-04,Shift 1,Paper 1,1,English,Final Answer Key,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_Paper-1_Final-Answer-Key.pdf,,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_Paper-1_Final-Answer-Key.pdf,10,23621
JEE_MAIN,2024,Session 2,,,Paper 1,1,English,Final Answer Key,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,346303
JEE_MAIN,2024,Session 2,,,Paper 2,2,English,Final Answer Key,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,348835
JEE_MAIN,2025,Session 1,2025-01-30,Shift 2,Paper 2,2,English,Final Answer Key,2025\Session-1\Answer-Keys\JEE_Main_2025_Session-1_Paper-2_Final-Answer-Key.pdf,,2025\Session-1\Answer-Keys\JEE_Main_2025_Session-1_Paper-2_Final-Answer-Key.pdf,6,18251
JEE_MAIN,2025,Session 2,2025-04-02,,Paper 1,1,English,Final Answer Key,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-1_Final-Answer-Key.pdf,,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-1_Final-Answer-Key.pdf,18,286072
JEE_MAIN,2025,Session 2,2025-04-09,Shift 1,Paper 2,2,English,Final Answer Key,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key.pdf,,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key.pdf,6,18270
JEE_MAIN,2025,Session 2,2025-04-09,Shift 1,Paper 2,2,English,Final Answer Key,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key_2.pdf,,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key_2.pdf,6,18617
JEE_MAIN,2025,Session 2,,,Paper 1,1,English,Final Answer Key,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,844035
JEE_MAIN,2025,Session 2,,,Paper 2,2,English,Final Answer Key,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,918579
JEE_MAIN,2025,Session General,,,Paper 1,1,English,Final Answer Key,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key.pdf,,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key.pdf,1,282570
JEE_MAIN,2025,Session General,2025-01-22,Shift 1,Paper 1,1,English,Final Answer Key,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_2.pdf,,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_2.pdf,20,36794
