year,paper_1_found,paper_1_processed,paper_2_found,paper_2_processed,answer_key_1_found,answer_key_2_found
2007,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2008,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2009,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2010,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2011,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2012,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2013,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2014,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2015,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2016,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2017,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2018,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2019,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2020,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2021,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2022,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2023,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2024,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Historical Consensus Key),FOUND (Historical Consensus Key)
2025,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Embedded Official Key),FOUND (Embedded Official Key)
2026,FOUND,PROCESSED,FOUND,PROCESSED,FOUND (Official Final Key),FOUND (Official Final Key)
