year,session,date,shift,paper,source_pdf,page_count,document_category,processed,audit_status,audit_note
2019,Session April,2019-04-08,,Paper 1,2019\Session-April\Answer-Keys\JEE_Main_2019_Session-April_Paper-1_Final-Answer-Key.pdf,16,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2019,Session General,,,Paper 1 (B.E./B.Tech),2019\Session-General\Question-Papers\JEE_Main_2019_Session-General_Question-Paper.pdf,1,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2021,Session 1,2021-02-24,Shift 1,Paper 1,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key.pdf,78,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2021,Session 1,2021-02-24,Shift 1,Paper 1,2021\Session-1\Answer-Keys\JEE_Main_2021_Session-1_Paper-1_Final-Answer-Key_2.pdf,78,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2021,Session 2,2021-03-16,Shift 1,Paper 1,2021\Session-2\Answer-Keys\JEE_Main_2021_Session-2_Paper-1_Final-Answer-Key.pdf,78,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2021,Session 2,,,Paper 1 (B.E./B.Tech),2021\Session-2\Question-Papers\JEE_Main_2021_Session-2_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2021,Session 3,2021-07-20,Shift 1,Paper 1,2021\Session-3\Answer-Keys\JEE_Main_2021_Session-3_Paper-1_Final-Answer-Key.pdf,11,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2021,Session 3,2021-07-29,,Paper 1 (B.E./B.Tech),2021\Session-3\Question-Papers\JEE_Main_2021_Session-3_2021-07-29_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2021,Session 4,2021-08-26,Shift 1,Paper 1,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-1_Final-Answer-Key.pdf,7,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2021,Session 4,2021-09-02,Shift 1,Paper 2,2021\Session-4\Answer-Keys\JEE_Main_2021_Session-4_Paper-2_Final-Answer-Key.pdf,7,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
