year,paper,total_questions,physics,chemistry,mathematics,perfectly_balanced,verdict
2007,Paper 1,66,22,22,22,True,PERFECT_AND_DIVISIBLE
2007,Paper 2,66,22,22,22,True,PERFECT_AND_DIVISIBLE
2008,Paper 1,69,23,23,23,True,PERFECT_AND_DIVISIBLE
2008,Paper 2,66,22,22,22,True,PERFECT_AND_DIVISIBLE
2009,Paper 1,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2009,Paper 2,57,19,19,19,True,PERFECT_AND_DIVISIBLE
2010,Paper 1,69,23,23,23,True,PERFECT_AND_DIVISIBLE
2010,Paper 2,57,19,19,19,True,PERFECT_AND_DIVISIBLE
2011,Paper 1,69,23,23,23,True,PERFECT_AND_DIVISIBLE
2011,Paper 2,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2012,Paper 1,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2012,Paper 2,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2013,Paper 1,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2013,Paper 2,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2014,Paper 1,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2014,Paper 2,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2015,Paper 1,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2015,Paper 2,60,20,20,20,True,PERFECT_AND_DIVISIBLE
2016,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2016,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2017,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2017,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2018,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2018,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2019,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2019,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2020,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2020,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2021,Paper 1,57,19,19,19,True,PERFECT_AND_DIVISIBLE
2021,Paper 2,57,19,19,19,True,PERFECT_AND_DIVISIBLE
2022,Paper 1,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2022,Paper 2,54,18,18,18,True,PERFECT_AND_DIVISIBLE
2023,Paper 1,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2023,Paper 2,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2024,Paper 1,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2024,Paper 2,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2025,Paper 1,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2025,Paper 2,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2026,Paper 1,51,17,17,17,True,PERFECT_AND_DIVISIBLE
2026,Paper 2,51,17,17,17,True,PERFECT_AND_DIVISIBLE
