question_id,exam,year,session,exam_date,shift,paper,subject,chapter,topic,question_type,original_question_number,correct_answer,numerical_answer,answer_status,answer_confidence,marks_correct,marks_incorrect,image_asset_path,source_pdf,source_page,display_badge
JA_2007_P1_PHY_Q001,JEE_ADVANCED,2007,,2007-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2007_P1_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2007\Paper-1\Question-Paper\JEE_Advanced_2007_Paper-1.pdf,1,[JEE ADVANCED] [2007] [Paper 1]
JA_2007_P2_PHY_Q001,JEE_ADVANCED,2007,,2007-05-25,,Paper 2,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2007_P2_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2007\Paper-2\Question-Paper\JEE_Advanced_2007_Paper-2.pdf,1,[JEE ADVANCED] [2007] [Paper 2]
JA_2008_P1_PHY_Q001,JEE_ADVANCED,2008,,2008-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2008_P1_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2008\Paper-1\Question-Paper\JEE_Advanced_2008_Paper-1.pdf,1,[JEE ADVANCED] [2008] [Paper 1]
JA_2008_P2_PHY_Q001,JEE_ADVANCED,2008,,2008-05-25,,Paper 2,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2008_P2_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2008\Paper-2\Question-Paper\JEE_Advanced_2008_Paper-2.pdf,1,[JEE ADVANCED] [2008] [Paper 2]
JA_2009_P1_PHY_Q001,JEE_ADVANCED,2009,,2009-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2009_P1_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2009\Paper-1\Question-Paper\JEE_Advanced_2009_Paper-1.pdf,1,[JEE ADVANCED] [2009] [Paper 1]
JA_2009_P2_PHY_Q001,JEE_ADVANCED,2009,,2009-05-25,,Paper 2,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2009_P2_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2009\Paper-2\Question-Paper\JEE_Advanced_2009_Paper-2.pdf,1,[JEE ADVANCED] [2009] [Paper 2]
JA_2010_P1_PHY_Q001,JEE_ADVANCED,2010,,2010-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,"C  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
A",,OFFICIAL_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2010_P1_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2010\Paper-1\Question-Paper\JEE_Advanced_2010_Paper-1.pdf,1,[JEE ADVANCED] [2010] [Paper 1]
JA_2010_P2_PHY_Q001,JEE_ADVANCED,2010,,2010-05-25,,Paper 2,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,"B 
 
 
 
 
 
 
A",,OFFICIAL_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2010_P2_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2010\Paper-2\Question-Paper\JEE_Advanced_2010_Paper-2.pdf,1,[JEE ADVANCED] [2010] [Paper 2]
JA_2014_P1_PHY_Q001,JEE_ADVANCED,2014,,2014-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,1,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2014_P1_PHY_Q001\diagram.png,JEE_Advanced_PYQ_Archive\2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,1,[JEE ADVANCED] [2014] [Paper 1]
JA_2014_P1_PHY_Q002,JEE_ADVANCED,2014,,2014-05-25,,Paper 1,Physics,Magnetic Effects of Current and Magnetism,Lorentz Force and Charged Particle Motion,SINGLE_CORRECT_MCQ,2,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2014_P1_PHY_Q002\diagram.png,JEE_Advanced_PYQ_Archive\2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,1,[JEE ADVANCED] [2014] [Paper 1]
JA_2014_P1_PHY_Q003,JEE_ADVANCED,2014,,2014-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,3,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2014_P1_PHY_Q003\diagram.png,JEE_Advanced_PYQ_Archive\2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,1,[JEE ADVANCED] [2014] [Paper 1]
JA_2014_P1_PHY_Q004,JEE_ADVANCED,2014,,2014-05-25,,Paper 1,Physics,Laws of Motion,Newton's Laws of Motion,SINGLE_CORRECT_MCQ,4,B,,INDEPENDENTLY_VERIFIED,HIGH,3.0,-1.0,JEE_ADVANCED\images\JA_2014_P1_PHY_Q004\diagram.png,JEE_Advanced_PYQ_Archive\2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,1,[JEE ADVANCED] [2014] [Paper 1]
