question_id,exam,year,session,exam_date,shift,paper,subject,chapter,topic,question_type,original_question_number,correct_answer,numerical_answer,answer_status,answer_confidence,marks_correct,marks_incorrect,image_asset_path,source_pdf,source_page,display_badge
JM_2026_S2_0402_SHIFT1_MAT_Q001,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Matrices and Determinants,Matrix Transformations,SINGLE_CORRECT_MCQ,1,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q001\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,1,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q002,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Matrices and Determinants,Matrix Transformations,SINGLE_CORRECT_MCQ,2,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q002\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,1,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q003,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Matrices and Determinants,Matrix Transformations,SINGLE_CORRECT_MCQ,3,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q003\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,2,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q004,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Matrices and Determinants,Matrix Transformations,SINGLE_CORRECT_MCQ,4,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q004\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,2,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q005,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Matrices and Determinants,Matrix Transformations,SINGLE_CORRECT_MCQ,5,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q005\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q006,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,SINGLE_CORRECT_MCQ,6,D,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q006\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q007,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,SINGLE_CORRECT_MCQ,7,C,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q007\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q008,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,SINGLE_CORRECT_MCQ,8,D,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q008\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q009,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,SINGLE_CORRECT_MCQ,9,D,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q009\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
JM_2026_S2_0402_SHIFT1_MAT_Q010,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,SINGLE_CORRECT_MCQ,10,A,,OFFICIAL_VERIFIED,HIGH,4.0,-1.0,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q010\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,[JEE MAIN] [2026] [Session 2 • 02 Apr • Shift 1]
